ActivityDate,ActiveUsers,DayOfWeek
2016-04-12,33,Tuesday
2016-04-13,33,Wednesday
2016-04-14,33,Thursday
2016-04-15,33,Friday
2016-04-16,32,Saturday
2016-04-17,32,Sunday
2016-04-18,32,Monday
2016-04-19,32,Tuesday
2016-04-20,32,Wednesday
2016-04-21,32,Thursday
2016-04-22,32,Friday
2016-04-23,32,Saturday
2016-04-24,32,Sunday
2016-04-25,32,Monday
2016-04-26,32,Tuesday
2016-04-27,32,Wednesday
2016-04-28,32,Thursday
2016-04-29,32,Friday
2016-04-30,31,Saturday
2016-05-01,30,Sunday
2016-05-02,29,Monday
2016-05-03,29,Tuesday
2016-05-04,29,Wednesday
2016-05-05,29,Thursday
2016-05-06,29,Friday
2016-05-07,29,Saturday
2016-05-08,27,Sunday
2016-05-09,27,Monday
2016-05-10,26,Tuesday
2016-05-11,24,Wednesday
2016-05-12,21,Thursday
