Id,Avg_Sleep_Hours,Avg_Time_In_Bed_Hours,Sleep_Efficiency,Sleep_Category
8053475328,4.95,5.03,98.5,Excellent
7086361926,7.55,7.77,97.2,Excellent
6962181067,7.47,7.77,96.1,Excellent
8792009665,7.26,7.56,96.0,Excellent
7007744171,1.14,1.19,95.8,Excellent
4702921684,7.02,7.37,95.3,Excellent
1927972279,6.95,7.3,95.2,Excellent
4319703577,7.94,8.37,95.0,Excellent
6775888955,5.83,6.15,94.8,Good
4388161847,6.72,7.1,94.6,Good
2026352035,8.44,8.96,94.1,Good
1503960366,6.0,6.39,94.0,Good
6117666160,7.98,8.5,93.8,Good
5577150313,7.2,7.68,93.8,Good
4445114986,6.42,6.95,92.4,Good
4020332650,5.82,6.33,92.0,Good
8378563200,7.39,8.06,91.7,Good
5553957443,7.72,8.43,91.6,Good
4558609924,2.13,2.33,91.1,Good
2347167796,7.45,8.19,90.9,Good
2320127002,1.02,1.15,88.4,Fair
1644430081,4.9,5.77,85.0,Fair
1844505072,10.87,16.02,67.8,Poor
3977333714,4.89,7.69,63.7,Poor
